"year","rep","scenario","GEI","stage","mean_gv_met","mean_gv_tpe","var_gv_met","var_gv_tpe","acc_met","acc_tpe","met_tpe"
3,1,"Pheno","Moderate","AYT",0.290248505774633,0.235575167090209,0.772572816729092,0.508985739619281,0.715421600243966,0.852149421658121,0.830603076836128
4,1,"Pheno","Moderate","AYT",0.403521809576082,0.422480578421718,0.226394134452713,0.316837262875983,0.598664059944233,0.637525952188397,0.934636627016518
5,1,"Pheno","Moderate","AYT",0.0218403356831069,0.0990197529943975,0.624063785247684,0.570999836840875,0.814163825758716,0.791940049636638,0.961149888607557
6,1,"Pheno","Moderate","AYT",0.30842791088106,0.232728926258335,0.625130576913174,0.586935739466258,0.680279567980656,0.850651532462583,0.791194907828213
7,1,"Pheno","Moderate","AYT",1.07022930546567,0.633029261321423,1.33733007792147,0.438208535744228,0.831571492342076,0.901202025764094,0.930953771217852
8,1,"Pheno","Moderate","AYT",0.366437119116947,0.589411673504782,0.296742786609614,0.390366236350911,0.438211292635497,0.516848698567644,0.937369393694814
9,1,"Pheno","Moderate","AYT",0.591048509395838,0.810654859414533,0.196116971906091,0.292986711574993,0.573631559258369,0.638094653705838,0.953551258993223
10,1,"Pheno","Moderate","AYT",0.347284027716505,0.597952779668476,0.479082108810427,0.505210453344855,0.572815061114622,0.719028960967352,0.832529890804749
11,1,"Pheno","Moderate","AYT",0.37765890494115,0.359519206090101,0.478495251237463,0.535481627995002,0.55339940045696,0.748678565896309,0.78514020084199
12,1,"Pheno","Moderate","AYT",0.253449142059766,0.410871799900459,0.519748045737345,0.355998928902196,0.550842589085285,0.728876880323071,0.726100715351853
13,1,"Pheno","Moderate","AYT",1.19612656299435,0.886215128888146,0.946286092256606,0.623668488920333,0.653669946655902,0.867361643174171,0.784298074049785
14,1,"Pheno","Moderate","AYT",0.651060712454332,0.758283932846946,0.812020526205434,0.539003122855051,0.722935772936333,0.890023320828426,0.823258070926389
15,1,"Pheno","Moderate","AYT",0.985927599237933,1.07310723690287,0.270691995983443,0.288971894184431,0.489542936592292,0.607180318845112,0.843537687618144
16,1,"Pheno","Moderate","AYT",0.931661375076878,0.768996014699872,0.385343972577152,0.425541277620113,0.590435107175519,0.772694290823407,0.712659605767784
17,1,"Pheno","Moderate","AYT",0.994434651472154,1.0608397269822,0.345724709734205,0.269945176130009,0.542600939300884,0.674458134263635,0.844682297036794
18,1,"Pheno","Moderate","AYT",0.935568205987797,0.682160029255517,1.59351180295568,0.453084694239708,0.751970479420813,0.882746194546206,0.863796227102348
19,1,"Pheno","Moderate","AYT",0.815084622288773,0.94329454840469,0.569878288429557,0.467455280364484,0.576551599908611,0.682445065703815,0.841258228727831
20,1,"Pheno","Moderate","AYT",1.54674426770104,0.818438560611817,1.59078496450899,0.449727948027896,0.651670238507406,0.877260340207802,0.804326283722018
1,1,"Pheno","Moderate","EYT",0.441636626845311,0.372319103842879,0.302204553461728,0.40634087972805,0.853900979376733,0.954036395847896,0.873051181318965
2,1,"Pheno","Moderate","EYT",0.519541812654376,0.568362208389184,0.394775461714899,0.318258536160626,0.789905819831356,0.919049339286586,0.866627571691691
3,1,"Pheno","Moderate","EYT",0.0581124760348201,0.0578071535182954,0.379864791800473,0.41184700495594,0.924422070895068,0.970403787852993,0.956113277083428
4,1,"Pheno","Moderate","EYT",0.185299172712798,0.209640843728248,0.388768666510407,0.366926587536278,0.896057088043636,0.953252470221362,0.982886078656124
5,1,"Pheno","Moderate","EYT",0.51057595813498,0.614084854246346,0.536383015923221,0.357857701975249,0.906078499220532,0.954867827530742,0.962137788752623
